Dataset,Record Count,Sequence Length,Error,Tracepoint Type,CPU Time (s),Average CPU Time (Per Aignment) (ms),Run Time (s),Average Runtime (per aignment) (ms),Peak Memory (KB),Total Tracepoints,Tracepoints in Bytes
N1001,10000,100,0.01,standard,0.47,0.05,0.16,0.02,8.28,58064,929024
N1002,10000,1000,0.01,standard,0.79,0.08,0.22,0.02,8.4,80000,1280000
N1003,10000,10000,0.01,standard,1.86,0.19,0.3,0.03,8.84,199284,3188544
N1004,10000,100,0.05,standard,0.3,0.03,0.1,0.01,6.4,40092,641472
N1005,10000,1000,0.05,standard,1.23,0.12,0.3,0.03,6.66,119984,1919744
N1006,10000,10000,0.05,standard,5.61,0.56,0.77,0.08,7.53,660094,10561504
N1007,10000,100,0.1,standard,0.31,0.03,0.1,0.01,6.35,40000,640000
N1008,10000,1000,0.1,standard,0.86,0.09,0.16,0.02,8.56,96148,1538368
N1009,10000,10000,0.1,standard,10.24,1.02,1.38,0.14,8.82,1209592,19353472
N1010,10000,100,0.2,standard,0.35,0.04,0.12,0.01,6.27,39992,639872
N1011,10000,1000,0.2,standard,0.3,0.03,0.09,0.01,6.38,40116,641856
N1012,10000,10000,0.2,standard,0.72,0.07,0.13,0.01,7.48,88628,1418048
N2001,10000,100,0.01,mixed,0.53,0.05,0.18,0.02,6.37,57944,927104
N2002,10000,1000,0.01,mixed,0.86,0.09,0.27,0.03,6.37,80000,1280000
N2003,10000,10000,0.01,mixed,1.77,0.18,0.29,0.03,6.86,199098,3185568
N2004,10000,100,0.05,mixed,0.35,0.04,0.12,0.01,8.43,40092,641472
N2005,10000,1000,0.05,mixed,1.2,0.12,0.25,0.03,6.54,119976,1919616
N2006,10000,10000,0.05,mixed,5.05,0.51,0.69,0.07,9.64,659380,10550080
N2007,10000,100,0.1,mixed,0.33,0.03,0.1,0.01,8.12,40000,640000
N2008,10000,1000,0.1,mixed,0.91,0.09,0.17,0.02,8.45,96266,1540256
N2009,10000,10000,0.1,mixed,10.53,1.05,1.39,0.14,10.6,1209632,19354112
N2010,10000,100,0.2,mixed,0.38,0.04,0.13,0.01,6.38,39992,639872
N2011,10000,1000,0.2,mixed,0.31,0.03,0.11,0.01,6.37,40096,641536
N2012,10000,10000,0.2,mixed,0.68,0.07,0.15,0.01,7.34,91628,1466048
N3001,10000,100,0.01,variable,0.48,0.05,0.16,0.02,6.39,57936,926976
N3002,10000,1000,0.01,variable,0.8,0.08,0.23,0.02,8.37,80000,1280000
N3003,10000,10000,0.01,variable,1.54,0.15,0.25,0.03,6.64,199168,3186688
N3004,10000,100,0.05,variable,0.31,0.03,0.1,0.01,8.21,40076,641216
N3005,10000,1000,0.05,variable,1.17,0.12,0.24,0.02,6.47,119976,1919616
N3006,10000,10000,0.05,variable,5.48,0.55,0.74,0.07,9.57,659624,10553984
N3007,10000,100,0.1,variable,0.36,0.04,0.11,0.01,8.32,40000,640000
N3008,10000,1000,0.1,variable,1.02,0.1,0.19,0.02,8.64,96548,1544768
N3009,10000,10000,0.1,variable,9.2,0.92,1.24,0.12,8.9,1209460,19351360
N3010,10000,100,0.2,variable,0.28,0.03,0.1,0.01,6.15,39996,639936
N3011,10000,1000,0.2,variable,0.3,0.03,0.09,0.01,8.38,40184,642944
N3012,10000,10000,0.2,variable,0.72,0.07,0.14,0.01,7.41,88624,1417984
N4001,10000,100,0.01,fastga,0.5,0.05,0.16,0.02,6.37,67412,1078592
N4002,10000,1000,0.01,fastga,0.93,0.09,0.24,0.02,8.48,816866,13069856
N4003,10000,10000,0.01,fastga,3.13,0.31,0.46,0.05,7.19,8018984,128303744
N4004,10000,100,0.05,fastga,0.35,0.04,0.12,0.01,8.23,48080,769280
N4005,10000,1000,0.05,fastga,1.36,0.14,0.25,0.03,6.66,818042,13088672
N4006,10000,10000,0.05,fastga,7.09,0.71,0.95,0.1,9.93,8019250,128308000
N4007,10000,100,0.1,fastga,0.32,0.03,0.1,0.01,6.42,48482,775712
N4008,10000,1000,0.1,fastga,1.05,0.1,0.19,0.02,6.7,599130,9586080
N4009,10000,10000,0.1,fastga,12.36,1.24,1.63,0.16,9.15,8019978,128319648
N4010,10000,100,0.2,fastga,0.34,0.03,0.11,0.01,6.41,48938,783008
N4011,10000,1000,0.2,fastga,0.45,0.04,0.14,0.01,8.31,409886,6558176
N4012,10000,10000,0.2,fastga,1.37,0.14,0.23,0.02,7.54,4101956,65631296
