Dataset,Record Count,Sequence Length,Error,Tracepoint Type,Seq File (MB),FASTA file (MB),FastGA PAF (MB),Tracepoint Encoded PAF (MB)
N1,10000,100,0.001,Standard,2.04,2.27,2.45,3.66
N2,10000,100,0.01,Standard,2.04,2.27,2.44,3.66
N3,10000,100,0.05,Standard,2.04,2.27,1.67,2.53
N4,10000,100,0.1,Standard,2.04,2.27,1.67,2.52
N5,10000,1000,0.001,Standard,20.04,20.27,3.72,5.39
N6,10000,1000,0.01,Standard,20.04,20.27,4.62,5.39
N7,10000,1000,0.05,Standard,20.04,20.27,7.88,5.51
N8,10000,1000,0.1,Standard,20.04,20.27,6.09,4.06
N9,10000,10000,0.001,Standard,200.04,200.27,5.12,5.71
N10,10000,10000,0.01,Standard,200.04,200.27,14.27,6.24
N11,10000,10000,0.05,Standard,200.04,200.27,47.12,7.96
N12,10000,10000,0.1,Standard,200.04,200.27,80.50,10.16
N13,10000,100,0.001,Mixed,2.04,2.27,2.43,2.28
N14,10000,100,0.01,Mixed,2.04,2.27,2.44,2.29
N15,10000,100,0.05,Mixed,2.04,2.27,1.67,1.59
N16,10000,100,0.1,Mixed,2.04,2.27,1.67,1.58
N17,10000,1000,0.001,Mixed,20.04,20.27,3.72,3.49
N18,10000,1000,0.01,Mixed,20.04,20.27,4.62,3.47
N19,10000,1000,0.05,Mixed,20.04,20.27,7.87,3.59
N20,10000,1000,0.1,Mixed,20.04,20.27,6.09,2.67
N21,10000,10000,0.001,Mixed,200.04,200.27,5.12,3.79
N22,10000,10000,0.01,Mixed,200.04,200.27,14.27,4.31
N23,10000,10000,0.05,Mixed,200.04,200.27,47.13,6.02
N24,10000,10000,0.1,Mixed,200.04,200.27,80.50,8.21
N25,10000,100,0.001,Variable,2.04,2.27,2.44,2.20
N26,10000,100,0.01,Variable,2.04,2.27,2.46,2.22
N27,10000,100,0.05,Variable,2.04,2.27,1.67,1.51
N28,10000,100,0.1,Variable,2.04,2.27,1.67,1.51
N29,10000,1000,0.001,Variable,20.04,20.27,3.72,3.36
N30,10000,1000,0.01,Variable,20.04,20.27,4.62,3.36
N31,10000,1000,0.05,Variable,20.04,20.27,7.87,3.48
N32,10000,1000,0.1,Variable,20.04,20.27,6.16,2.58
N33,10000,10000,0.001,Variable,200.04,200.27,5.12,3.66
N34,10000,10000,0.01,Variable,200.04,200.27,14.27,4.15
N35,10000,10000,0.05,Variable,200.04,200.27,47.12,5.79
N36,10000,10000,0.1,Variable,200.04,200.27,80.51,7.90
N37,10000,100,0.001,FastGA,2.04,2.27,2.45,2.26
N38,10000,100,0.01,FastGA,2.04,2.27,2.44,2.25
N39,10000,100,0.05,FastGA,2.04,2.27,1.67,1.57
N40,10000,100,0.1,FastGA,2.04,2.27,1.67,1.56
N41,10000,1000,0.001,FastGA,20.04,20.27,3.72,5.51
N42,10000,1000,0.01,FastGA,20.04,20.27,4.62,5.47
N43,10000,1000,0.05,FastGA,20.04,20.27,7.88,5.43
N44,10000,1000,0.1,FastGA,20.04,20.27,6.13,4.03
N45,10000,10000,0.001,FastGA,200.04,200.27,5.12,27.29
N46,10000,10000,0.01,FastGA,200.04,200.27,14.27,26.92
N47,10000,10000,0.05,FastGA,200.04,200.27,47.13,26.62
N48,10000,10000,0.1,FastGA,200.05,200.28,80.49,27.38
