dataset	target	method	mc	distance	records	tpa_bytes	idx_bytes
hprcv2-25k	GCA_000001405.15_GRCh38_no_alt_analysis_set.PanSN.merged	fastga	100	edit	29189129	5252963860	144489114
hprcv2-25k	HG00097_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2685951	570272145	12150248
hprcv2-25k	HG00097_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2805086	578673962	12721537
hprcv2-25k	HG00099_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2034110	440763894	8923275
hprcv2-25k	HG00099_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2384432	515279839	10669513
hprcv2-25k	HG00126_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2486756	515283574	11135985
hprcv2-25k	HG00126_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	3299850	676301675	15199934
hprcv2-25k	HG00128_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2418560	522448504	10854738
hprcv2-25k	HG00128_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2539049	522559254	11396452
hprcv2-25k	HG00133_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2421012	500239490	10801190
hprcv2-25k	HG00133_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2929403	600143662	13311401
hprcv2-25k	HG00140_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2704576	556663660	12242682
hprcv2-25k	HG00140_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	3206643	671599602	14787143
hprcv2-25k	HG00146_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2847878	602870767	12989287
hprcv2-25k	HG00146_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2645657	560496520	11963601
hprcv2-25k	HG00232_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2468319	533043222	11104994
hprcv2-25k	HG00232_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	3308699	699237477	15295349
hprcv2-25k	HG00235_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2832134	570026440	12858943
hprcv2-25k	HG00235_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2042488	431679823	8926412
hprcv2-25k	HG00253_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2924163	618186002	13363421
hprcv2-25k	HG00253_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2449942	526324583	10991062
hprcv2-25k	HG00272_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	3642890	782950826	16972152
hprcv2-25k	HG00272_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2707369	573146709	12281127
hprcv2-25k	HG00280_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	3021002	619532946	13812934
hprcv2-25k	HG00280_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2333039	495302915	10398733
hprcv2-25k	HG00290_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2166681	457399815	9558249
hprcv2-25k	HG00290_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2504166	521163160	11204308
hprcv2-25k	HG00320_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2669556	562894518	12091969
hprcv2-25k	HG00320_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2760373	598733127	12579355
hprcv2-25k	HG00321_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2422670	503594162	10823446
hprcv2-25k	HG00321_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2706288	574018592	12281588
hprcv2-25k	HG00323_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2553841	541444772	11526136
hprcv2-25k	HG00323_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	3175978	668616001	14640266
hprcv2-25k	HG00329_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2854069	574120876	12925282
hprcv2-25k	HG00329_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2690256	569013337	12181674
hprcv2-25k	HG00344_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2724961	574612479	12355395
hprcv2-25k	HG00344_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2832337	585341026	12862134
hprcv2-25k	HG00350_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2632730	550713250	11886703
hprcv2-25k	HG00350_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2982377	636514887	13661591
hprcv2-25k	HG00408_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2208731	464884283	9760931
hprcv2-25k	HG00408_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2697626	588858943	12254617
hprcv2-25k	HG00423_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2527263	556481213	11406766
hprcv2-25k	HG00423_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2779430	592681101	12628790
hprcv2-25k	HG00438_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2638607	545045326	11911458
hprcv2-25k	HG00438_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	3039686	639334238	13926978
hprcv2-25k	HG00544_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2416252	516279672	10817862
hprcv2-25k	HG00544_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2900174	604972929	13230120
hprcv2-25k	HG00558_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2598643	564492466	11731468
hprcv2-25k	HG00558_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2798473	629698238	12791083
hprcv2-25k	HG00597_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	3107142	673689095	14284410
hprcv2-25k	HG00597_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2449754	517433781	10955395
hprcv2-25k	HG005_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2694856	563664818	12196900
hprcv2-25k	HG005_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2805034	569560738	12718940
hprcv2-25k	HG00609_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	3264483	702114002	15100091
hprcv2-25k	HG00609_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2931409	599696107	13347925
hprcv2-25k	HG00621_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2198318	481165554	9766596
hprcv2-25k	HG00621_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2462592	504026276	10989492
hprcv2-25k	HG00639_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	3204810	679597548	14778596
hprcv2-25k	HG00639_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	3037673	628915731	13905828
hprcv2-25k	HG00642_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2583862	533374825	11610418
hprcv2-25k	HG00642_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	3189271	619367787	14592422
hprcv2-25k	HG00658_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2798017	599451221	12730976
hprcv2-25k	HG00658_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2999383	603132448	13667242
hprcv2-25k	HG00673_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2585341	551562810	11653652
hprcv2-25k	HG00673_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2621823	536951097	11807290
hprcv2-25k	HG00706_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2381676	521722267	10671920
hprcv2-25k	HG00706_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2711000	530366337	12156358
hprcv2-25k	HG00733_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	3466455	744287999	16091453
hprcv2-25k	HG00733_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	3162866	659071417	14545720
hprcv2-25k	HG00735_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2532741	541881577	11432922
hprcv2-25k	HG00735_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2544469	522538310	11454702
hprcv2-25k	HG00738_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2755440	574796382	12528056
hprcv2-25k	HG00738_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	3026896	627829864	13852802
hprcv2-25k	HG00741_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2635881	561600994	11921587
hprcv2-25k	HG00741_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2205792	465443294	9752257
hprcv2-25k	HG01071_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2457157	507986773	10987262
hprcv2-25k	HG01071_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2562622	539728354	11555655
hprcv2-25k	HG01074_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	3128829	674062750	14395056
hprcv2-25k	HG01074_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2503286	522675371	11244586
hprcv2-25k	HG01081_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2377547	497873839	10583381
hprcv2-25k	HG01081_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2634982	569576032	11919944
hprcv2-25k	HG01099_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	3025179	628099562	13857011
hprcv2-25k	HG01099_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	3331048	676535677	15385217
hprcv2-25k	HG01106_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2695684	581008008	12241117
hprcv2-25k	HG01106_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2664990	531633725	11975430
hprcv2-25k	HG01109_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2706718	544155442	12192395
hprcv2-25k	HG01109_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2184146	428596736	9542370
hprcv2-25k	HG01123_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2318492	494928107	10351564
hprcv2-25k	HG01123_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2767980	593712386	12601767
hprcv2-25k	HG01150_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	3216552	671421666	14821320
hprcv2-25k	HG01150_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2369523	497520970	10539006
hprcv2-25k	HG01167_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	3458616	700655976	15973710
hprcv2-25k	HG01167_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2298270	470398094	10177536
hprcv2-25k	HG01175_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2519860	535484479	11334323
hprcv2-25k	HG01175_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2911468	624169458	13307574
hprcv2-25k	HG01192_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2919143	624237485	13357721
hprcv2-25k	HG01192_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2489654	490574306	11081296
hprcv2-25k	HG01243_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2867105	603952758	13069961
hprcv2-25k	HG01243_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	3369227	666781486	15472854
hprcv2-25k	HG01252_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2202993	473098839	9749402
hprcv2-25k	HG01252_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2592231	527326458	11616301
hprcv2-25k	HG01255_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2350060	505413380	10509122
hprcv2-25k	HG01255_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2737796	558454117	12362698
hprcv2-25k	HG01258_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2482057	528223292	11154959
hprcv2-25k	HG01258_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2503222	507717711	11198551
hprcv2-25k	HG01261_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2443649	527379561	10960762
hprcv2-25k	HG01261_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	1821825	369538611	7758096
hprcv2-25k	HG01346_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2901382	624662895	13288791
hprcv2-25k	HG01346_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	1944458	400869304	8415657
hprcv2-25k	HG01358_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	3250047	690771051	15034400
hprcv2-25k	HG01358_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2706576	565048004	12260111
hprcv2-25k	HG01361_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2815729	594527292	12803868
hprcv2-25k	HG01361_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2677457	562973910	12113539
hprcv2-25k	HG01433_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2469261	544129171	11134234
hprcv2-25k	HG01433_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2472435	507147842	11070293
hprcv2-25k	HG01496_mat_hprc_r2_v1.0.1.merged	fastga	100	edit	2370257	507446393	10614269
hprcv2-25k	HG01496_pat_hprc_r2_v1.0.1.merged	fastga	100	edit	2530087	553584642	11435364
hprcv2-25k	HG01530_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2543666	515633833	11405948
hprcv2-25k	HG01530_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2805854	593938114	12771483
hprcv2-25k	HG01784_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2947235	643842785	13498042
hprcv2-25k	HG01784_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2469675	482239928	10979279
hprcv2-25k	HG01786_hap1_hprc_r2_v1.0.1.merged	fastga	100	edit	2606669	543523071	11757188
hprcv2-25k	HG01786_hap2_hprc_r2_v1.0.1.merged	fastga	100	edit	2797276	583700874	12714564
