score	frequency
-215502	1
-212250	1
-211937	1
-208044	1
-206400	1
-205538	1
-204773	1
-204003	1
-201059	1
-199440	1
-197225	1
-194981	1
-194635	1
-193886	1
-193572	1
-193527	1
-192749	1
-192345	1
-191065	1
-190872	1
-190360	1
-190228	1
-188122	1
-187682	1
-187664	1
-187440	1
-186585	1
-185133	1
-184168	1
-184035	1
-183997	1
-183791	1
-183312	1
-183245	1
-183117	1
-182724	1
-182182	1
-182169	1
-181908	1
-181285	1
-181253	1
-180963	1
-180149	1
-179902	1
-179390	1
-179207	1
-179052	1
-178216	1
-177873	1
-177349	1
-177339	1
-176994	1
-176749	1
-176743	1
-176220	1
-176211	1
-175454	1
-175452	1
-175235	1
-174568	1
-173424	1
-173353	1
-173208	1
-172925	1
-172858	1
-172787	1
-172754	1
-172692	1
-172450	1
-172393	1
-172217	1
-172040	1
-171880	1
-171314	1
-171262	1
-170929	1
-170868	1
-170834	1
-170655	1
-170539	1
-170286	1
-170148	1
-170058	1
-170016	1
-169820	1
-169741	1
-169276	1
-169164	1
-168866	1
-168684	1
-168627	1
-168614	1
-168455	2
-168321	1
-168213	1
-168110	1
-167924	1
-167915	1
-167874	1
-167803	1
-167739	1
-167675	1
-167074	1
-167000	1
-166918	1
-166759	1
-166656	1
-166555	1
-166532	1
-166384	1
-166194	1
-166095	1
-166022	1
-165887	1
-165486	1
-164979	1
-164756	1
-164716	1
-164628	1
-164596	1
-164343	1
-164303	1
-164296	1
-164221	1
-164018	1
-164012	1
-163941	1
-163931	1
-163878	1
-163745	1
-163561	1
-163427	1
-163405	1
-163093	1
-162975	1
-162691	1
-162682	1
-162624	1
-162524	1
-162358	1
-162294	1
-162240	1
-161859	1
-161708	1
-161676	1
-161561	1
-161552	1
-161156	1
-160960	1
-160946	1
-160912	1
-160819	1
-160675	1
-160542	1
-160497	1
-160463	1
-160403	1
-160258	1
-160195	1
-160148	1
-160110	1
-159930	1
-159925	1
-159899	1
-159754	1
-159550	1
-159539	1
-159376	1
-159372	1
-159306	1
-159254	1
-159113	1
-159079	1
-159006	1
-158992	1
-158991	1
-158954	1
-158870	1
-158843	1
-158831	1
-158580	1
-158456	1
