score_per_base	frequency
-1.33235	1
-1.32953	1
-1.32641	1
-1.31676	1
-1.31650	1
-1.30851	1
-1.30650	1
-1.30233	1
-1.29450	1
-1.29437	1
-1.28644	1
-1.28477	1
-1.28094	1
-1.28050	1
-1.27384	1
-1.27007	1
-1.26903	1
-1.26659	1
-1.26334	1
-1.25781	1
-1.24982	1
-1.24738	1
-1.24707	1
-1.24591	1
-1.24568	1
-1.24479	1
-1.24467	1
-1.24455	1
-1.24279	1
-1.24034	1
-1.23921	1
-1.23908	1
-1.23900	1
-1.23862	1
-1.23546	1
-1.23488	1
-1.23455	1
-1.23366	1
-1.23218	1
-1.23195	1
-1.23000	1
-1.22905	1
-1.22904	1
-1.22898	1
-1.22850	1
-1.22837	1
-1.22820	1
-1.22581	1
-1.22514	1
-1.22497	1
-1.22407	1
-1.22296	1
-1.22222	1
-1.22043	1
-1.22023	1
-1.21960	1
-1.21899	1
-1.21886	1
-1.21847	1
-1.21842	1
-1.21795	1
-1.21763	1
-1.21713	1
-1.21698	1
-1.21683	1
-1.21678	1
-1.21652	1
-1.21647	1
-1.21639	1
-1.21579	1
-1.21575	1
-1.21565	1
-1.21563	1
-1.21551	1
-1.21535	2
-1.21534	1
-1.21510	1
-1.21506	2
-1.21495	1
-1.21490	1
-1.21461	1
-1.21459	1
-1.21431	1
-1.21430	2
-1.21415	3
-1.21356	6
-1.21344	1
-1.21335	1
-1.21314	1
-1.21312	1
-1.21243	1
-1.21155	1
-1.21107	1
-1.21100	2
-1.21047	1
-1.20997	1
-1.20926	1
-1.20902	1
-1.20844	1
-1.20840	1
-1.20818	1
-1.20791	1
-1.20671	1
-1.20650	1
-1.20633	1
-1.20622	1
-1.20559	1
-1.20546	1
-1.20496	1
-1.20467	1
-1.20464	1
-1.20447	1
-1.20435	1
-1.20393	1
-1.20338	1
-1.20279	1
-1.20172	1
-1.20157	1
-1.20129	1
-1.20125	1
-1.20059	1
-1.20043	1
-1.20033	1
-1.19997	1
-1.19966	2
-1.19962	1
-1.19951	1
-1.19935	1
-1.19920	2
-1.19914	1
-1.19905	1
-1.19827	1
-1.19825	1
-1.19818	1
-1.19812	1
-1.19797	2
-1.19781	1
-1.19780	1
-1.19766	1
-1.19743	1
-1.19704	1
-1.19678	1
-1.19660	1
-1.19659	1
-1.19635	1
-1.19628	1
-1.19624	1
-1.19582	1
-1.19581	1
-1.19580	1
-1.19566	1
-1.19536	1
-1.19474	1
-1.19472	1
-1.19455	1
-1.19444	1
-1.19442	1
-1.19426	1
-1.19395	2
-1.19383	1
-1.19368	1
-1.19330	1
-1.19328	1
-1.19306	1
-1.19257	1
-1.19245	1
-1.19232	1
-1.19205	1
-1.19203	1
-1.19193	1
-1.19187	1
-1.19179	1
-1.19169	1
-1.19145	2
-1.19071	1
-1.19019	1
-1.19016	1
-1.18991	1
-1.18990	1
-1.18975	1
-1.18951	1
-1.18900	1
-1.18860	1
-1.18755	1
-1.18740	1
-1.18716	1
-1.18711	1
-1.18650	1
-1.18649	1
-1.18626	1
-1.18588	1
-1.18582	1
-1.18570	1
-1.18557	1
-1.18534	1
-1.18502	1
-1.18486	1
-1.18474	1
-1.18463	1
-1.18456	1
-1.18447	1
-1.18402	1
-1.18273	1
-1.18244	1
-1.18234	1
-1.18223	1
-1.18215	1
-1.18198	1
-1.18183	1
-1.18171	1
-1.18162	1
-1.18150	1
-1.18130	1
-1.18118	1
-1.18100	1
-1.18088	2
-1.18082	1
-1.18075	1
-1.18067	1
-1.18050	1
-1.18029	1
-1.18007	1
-1.17999	1
-1.17985	1
-1.17983	1
-1.17976	1
-1.17962	1
-1.17933	1
-1.17932	1
-1.17930	1
-1.17919	1
-1.17905	1
-1.17900	1
-1.17896	1
-1.17861	1
-1.17833	1
-1.17814	1
-1.17791	1
-1.17761	1
-1.17738	1
-1.17720	1
-1.17717	1
-1.17712	1
-1.17707	1
-1.17705	2
-1.17683	1
-1.17682	1
-1.17655	2
-1.17642	1
-1.17624	1
-1.17614	1
-1.17611	1
-1.17601	1
-1.17599	1
-1.17598	1
-1.17597	2
-1.17586	2
-1.17583	1
-1.17574	1
-1.17561	1
-1.17550	1
-1.17548	1
-1.17545	1
-1.17544	1
-1.17540	1
-1.17538	1
-1.17535	1
-1.17530	1
-1.17529	1
-1.17526	2
-1.17518	1
-1.17517	2
-1.17510	1
-1.17507	1
-1.17502	1
-1.17500	1
-1.17497	1
-1.17496	1
-1.17492	1
-1.17486	1
-1.17483	1
-1.17474	1
-1.17472	1
-1.17460	1
-1.17457	1
-1.17455	1
-1.17446	1
-1.17424	1
-1.17419	1
-1.17404	1
-1.17403	1
-1.17398	1
-1.17397	1
-1.17395	1
-1.17389	2
-1.17388	1
-1.17387	1
-1.17386	1
-1.17374	1
-1.17373	1
-1.17367	2
-1.17359	2
-1.17353	1
-1.17343	2
-1.17333	1
-1.17329	1
-1.17324	3
-1.17321	1
-1.17314	1
-1.17312	1
-1.17307	2
-1.17300	1
-1.17293	1
-1.17283	1
-1.17278	1
-1.17277	1
