score	frequency	target
-15288478	1	chm13
-15282453	1	chm13
-15270420	1	chm13
-15238250	1	chm13
-13550752	1	chm13
-13550617	1	chm13
-13528480	1	chm13
-13466727	1	chm13
-12700682	1	chm13
-11911396	1	chm13
-11892945	1	chm13
-11889052	1	chm13
-11620205	1	chm13
-11113147	1	chm13
-11112014	1	chm13
-11056735	1	chm13
-10759876	1	chm13
-10731944	1	chm13
-10728269	1	chm13
-10712984	1	chm13
-10577582	1	chm13
-10550020	1	chm13
-10541393	1	chm13
-10512281	1	chm13
-10386555	1	chm13
-10226889	1	chm13
-10211962	1	chm13
-9475020	1	chm13
-9021625	1	chm13
-8971447	1	chm13
-8963039	1	chm13
-8807729	1	chm13
-8721371	1	chm13
-8695940	1	chm13
-8687960	1	chm13
-8679178	1	chm13
-8666116	1	chm13
-8289715	1	chm13
-8277081	1	chm13
-8237651	1	chm13
-8215991	1	chm13
-7941035	1	chm13
-7940443	1	chm13
-7922070	1	chm13
-7891894	1	chm13
-7877040	1	chm13
-7865299	1	chm13
-7861292	1	chm13
-7858497	1	chm13
-7856733	1	chm13
-7835794	1	chm13
-7834195	1	chm13
-7829452	1	chm13
-7808332	1	chm13
-7675859	1	chm13
-7636824	1	chm13
-7633188	1	chm13
-7599770	1	chm13
-7575952	1	chm13
-7557142	1	chm13
-7546639	1	chm13
-7475858	1	chm13
-7375641	1	chm13
-7363050	1	chm13
-7327117	1	chm13
-7320310	1	chm13
-7280852	1	chm13
-7167054	1	chm13
-7163043	1	chm13
-7158858	1	chm13
-7066630	1	chm13
-7052351	1	chm13
-7028752	1	chm13
-7022719	1	chm13
-7001170	1	chm13
-6891761	1	chm13
-6869875	1	chm13
-6864947	1	chm13
-6835890	1	chm13
-6747934	1	chm13
-6740920	1	chm13
-6730856	1	chm13
-6724474	1	chm13
-6714274	1	chm13
-6690964	1	chm13
-6668302	1	chm13
-6659224	1	chm13
-6654397	1	chm13
-6604396	1	chm13
-6603807	1	chm13
-6579948	1	chm13
-6560904	1	chm13
-6439580	1	chm13
-6437299	1	chm13
-6420943	1	chm13
-6387825	1	chm13
-6349054	1	chm13
-6337987	1	chm13
-6328420	1	chm13
-6328203	1	chm13
-6304114	1	chm13
-6242997	1	chm13
-6157029	1	chm13
-6152923	1	chm13
-6150761	1	chm13
-6127410	1	chm13
-6085077	1	chm13
-6055965	1	chm13
-6046195	1	chm13
-6042596	1	chm13
-6033355	1	chm13
-6028925	1	chm13
-5995754	1	chm13
-5989426	1	chm13
-5978249	1	chm13
-5962265	1	chm13
-5946972	1	chm13
-5940226	1	chm13
-5932372	1	chm13
-5803218	1	chm13
-5795791	1	chm13
