score_per_base	frequency	target
-2.02996	1	chm13
-1.99107	1	chm13
-1.97727	1	chm13
-1.93056	1	chm13
-1.90625	1	chm13
-1.89535	1	chm13
-1.88988	1	chm13
-1.88281	1	chm13
-1.85714	1	chm13
-1.85061	1	chm13
-1.84239	1	chm13
-1.80243	1	chm13
-1.79934	1	chm13
-1.78983	1	chm13
-1.78906	1	chm13
-1.78857	1	chm13
-1.77941	1	chm13
-1.77644	1	chm13
-1.77621	1	chm13
-1.75949	1	chm13
-1.75305	1	chm13
-1.75000	2	chm13
-1.74438	1	chm13
-1.74269	1	chm13
-1.74051	1	chm13
-1.73611	1	chm13
-1.73476	1	chm13
-1.73171	1	chm13
-1.71199	1	chm13
-1.70981	1	chm13
-1.70202	1	chm13
-1.69531	1	chm13
-1.69497	1	chm13
-1.68222	1	chm13
-1.67940	1	chm13
-1.67658	1	chm13
-1.67484	1	chm13
-1.67002	1	chm13
-1.66797	1	chm13
-1.66717	1	chm13
-1.66688	1	chm13
-1.66572	1	chm13
-1.66252	1	chm13
-1.66015	1	chm13
-1.65340	1	chm13
-1.65335	1	chm13
-1.65159	1	chm13
-1.65035	1	chm13
-1.64820	1	chm13
-1.64804	1	chm13
-1.64714	1	chm13
-1.64428	1	chm13
-1.64407	1	chm13
-1.64323	1	chm13
-1.64257	1	chm13
-1.64189	1	chm13
-1.64179	1	chm13
-1.64150	1	chm13
-1.63739	1	chm13
-1.63623	1	chm13
-1.63600	1	chm13
-1.63095	1	chm13
-1.62978	1	chm13
-1.62975	1	chm13
-1.62735	1	chm13
-1.62605	1	chm13
-1.62562	1	chm13
-1.62508	1	chm13
-1.62505	1	chm13
-1.62479	1	chm13
-1.62443	1	chm13
-1.62359	1	chm13
-1.62223	1	chm13
-1.62191	2	chm13
-1.62006	1	chm13
-1.61994	1	chm13
-1.61976	1	chm13
-1.61975	1	chm13
-1.61963	1	chm13
-1.61956	1	chm13
-1.61911	1	chm13
-1.61852	1	chm13
-1.61851	1	chm13
-1.61766	1	chm13
-1.61760	1	chm13
-1.61747	1	chm13
-1.61731	1	chm13
-1.61554	1	chm13
-1.61520	1	chm13
-1.61489	1	chm13
-1.61486	1	chm13
-1.61422	1	chm13
-1.61418	1	chm13
-1.61405	1	chm13
-1.61319	1	chm13
-1.61167	1	chm13
-1.61162	1	chm13
-1.61150	1	chm13
-1.61131	1	chm13
-1.61081	1	chm13
-1.61045	1	chm13
