score_per_base	frequency
-2.08333	1
-2.02996	1
-2.02632	1
-2.01829	1
-2.00338	1
-2.00000	2
-1.99652	1
-1.99609	1
-1.99390	1
-1.99107	1
-1.98810	1
-1.98056	1
-1.97727	1
-1.97024	1
-1.96296	1
-1.95963	1
-1.95759	1
-1.95123	1
-1.95000	1
-1.94851	1
-1.94794	1
-1.94375	1
-1.94005	1
-1.93828	1
-1.93548	1
-1.93436	1
-1.93197	1
-1.93182	1
-1.93168	1
-1.93056	1
-1.93000	1
-1.92969	1
-1.92834	1
-1.92778	1
-1.92657	1
-1.92532	1
-1.92401	1
-1.92381	1
-1.92203	1
-1.91875	1
-1.91540	1
-1.91250	1
-1.91212	2
-1.91159	1
-1.91026	1
-1.91002	1
-1.91000	1
-1.90910	1
-1.90761	2
-1.90625	1
-1.90545	1
-1.90461	1
-1.90247	1
-1.90179	1
-1.90153	1
-1.90095	1
-1.90090	1
-1.89855	1
-1.89691	1
-1.89584	1
-1.89535	1
-1.89453	1
-1.89451	1
-1.89408	1
-1.89296	1
-1.89289	1
-1.89247	1
-1.89062	2
-1.88988	1
-1.88423	1
-1.88328	1
-1.88281	1
-1.88170	1
-1.88141	1
-1.88023	1
-1.87607	1
-1.87597	1
-1.87551	1
-1.87500	2
-1.87312	1
-1.87262	1
-1.87187	1
-1.87183	1
-1.86754	1
-1.86731	1
-1.86682	1
-1.86645	1
-1.86458	1
-1.86457	1
-1.86381	1
-1.86170	1
-1.86147	1
-1.85921	1
-1.85796	1
-1.85714	1
-1.85669	1
-1.85571	1
-1.85511	1
-1.85061	1
-1.85058	1
-1.84999	1
-1.84924	1
-1.84884	1
-1.84754	1
-1.84659	1
-1.84483	1
-1.84466	1
-1.84424	1
-1.84423	1
-1.84375	2
-1.84286	1
-1.84239	1
-1.83984	1
-1.83871	1
-1.83721	1
-1.83618	1
-1.83594	1
-1.83553	1
-1.83490	1
-1.83281	1
-1.83245	1
-1.83227	1
-1.83201	1
-1.83177	1
-1.83146	1
-1.83113	1
-1.82880	1
-1.82826	1
-1.82804	2
-1.82776	1
-1.82698	2
-1.82646	1
-1.82603	1
-1.82587	1
-1.82475	1
-1.82402	1
-1.82338	1
-1.82337	1
-1.82319	1
-1.82150	1
-1.82090	1
-1.82036	1
-1.82031	1
-1.81964	1
-1.81943	1
-1.81790	1
-1.81780	1
-1.81676	1
-1.81467	1
-1.81446	1
-1.81436	1
-1.81328	1
