l	e	tp_type	mc	distance	records	tpa_bytes	idx_bytes
100	0.001	fastga	100	edit	10000	431323	30016
100	0.01	fastga	100	edit	10000	431323	30016
100	0.05	fastga	100	edit	10000	431343	30016
100	0.1	fastga	100	edit	10000	431418	30016
100	0.2	fastga	100	edit	10000	431497	30016
1000	0.001	fastga	100	edit	10000	511299	30016
1000	0.01	fastga	100	edit	10000	526845	30016
1000	0.05	fastga	100	edit	10000	555930	30016
1000	0.1	fastga	100	edit	10000	568198	30016
1000	0.2	fastga	100	edit	10000	577636	30016
10000	0.001	fastga	100	edit	10000	752619	30016
10000	0.01	fastga	100	edit	10000	952008	30016
10000	0.05	fastga	100	edit	10000	1246482	30016
10000	0.1	fastga	100	edit	10000	1356864	30016
10000	0.2	fastga	100	edit	10000	1463486	30016
100000	0.001	fastga	100	edit	10000	3318451	34038
100000	0.01	fastga	100	edit	10000	5293661	36398
100000	0.05	fastga	100	edit	10000	8236955	37738
100000	0.1	fastga	100	edit	10000	9342647	38016
100000	0.2	fastga	100	edit	10000	10408832	38227
100	0.001	fastga-no-diff	100	edit	10000	411318	30016
100	0.01	fastga-no-diff	100	edit	10000	411318	30016
100	0.05	fastga-no-diff	100	edit	10000	411332	30016
100	0.1	fastga-no-diff	100	edit	10000	411403	30016
100	0.2	fastga-no-diff	100	edit	10000	411468	30016
1000	0.001	fastga-no-diff	100	edit	10000	481306	30016
1000	0.01	fastga-no-diff	100	edit	10000	488292	30016
1000	0.05	fastga-no-diff	100	edit	10000	503016	30016
1000	0.1	fastga-no-diff	100	edit	10000	509451	30016
1000	0.2	fastga-no-diff	100	edit	10000	515065	30016
10000	0.001	fastga-no-diff	100	edit	10000	602608	30016
10000	0.01	fastga-no-diff	100	edit	10000	689436	30016
10000	0.05	fastga-no-diff	100	edit	10000	837114	30016
10000	0.1	fastga-no-diff	100	edit	10000	897756	30016
10000	0.2	fastga-no-diff	100	edit	10000	959135	30016
100000	0.001	fastga-no-diff	100	edit	10000	1918438	30016
100000	0.01	fastga-no-diff	100	edit	10000	2782449	32752
100000	0.05	fastga-no-diff	100	edit	10000	4257592	35453
100000	0.1	fastga-no-diff	100	edit	10000	4865150	36060
100000	0.2	fastga-no-diff	100	edit	10000	5477637	36527
