Dataset,Record Count,Sequence Length,Error,Tracepoint Type,CPU Time (s),Average CPU Time (Per Aignment) (ms),Run Time (s),Average Runtime (per aignment) (ms),Peak Memory (KB),Total Tracepoints,Tracepoints in Bytes
N4001,10000,100,0.01,fastga,411.45,41.15,51.9,5.19,36.54,,
N4002,10000,1000,0.01,fastga,584.16,58.42,73.41,7.34,34.38,,
N4003,10000,10000,0.01,fastga,631.5,63.15,79.51,7.95,36.3,,
N4004,10000,100,0.05,fastga,283.63,28.36,35.63,3.56,36.1,,
N4005,10000,1000,0.05,fastga,587.68,58.77,74.25,7.42,35.48,,
N4006,10000,10000,0.05,fastga,613.8,61.38,77.18,7.72,37.28,,
N4007,10000,100,0.1,fastga,284.42,28.44,35.75,3.58,34.73,,
N4008,10000,1000,0.1,fastga,410.35,41.03,51.58,5.16,37.15,,
N4009,10000,10000,0.1,fastga,628.48,62.85,79.32,7.93,39.8,,
N4010,10000,100,0.2,fastga,272.12,27.21,34.27,3.43,35.06,,
N4011,10000,1000,0.2,fastga,282.9,28.29,35.62,3.56,34.38,,
N4012,10000,10000,0.2,fastga,332.2,33.22,41.83,4.18,37.88,,
N2001,10000,100,0.01,mixed,430.19,43.02,54.02,5.4,34.78,,
N2002,10000,1000,0.01,mixed,573.96,57.4,72.07,7.21,34.83,,
N2003,10000,10000,0.01,mixed,607.71,60.77,76.42,7.64,37.75,,
N2004,10000,100,0.05,mixed,292.92,29.29,36.86,3.69,34.52,,
N2005,10000,1000,0.05,mixed,578.28,57.83,72.66,7.27,37.08,,
N2006,10000,10000,0.05,mixed,605.15,60.52,76.01,7.6,40.02,,
N2007,10000,100,0.1,mixed,288.39,28.84,36.23,3.62,36.98,,
N2008,10000,1000,0.1,mixed,442.52,44.25,55.61,5.56,36.86,,
N2009,10000,10000,0.1,mixed,634.64,63.46,79.88,7.99,38.98,,
N2010,10000,100,0.2,mixed,276.88,27.69,34.86,3.49,37.07,,
N2011,10000,1000,0.2,mixed,293.3,29.33,36.89,3.69,36.11,,
N2012,10000,10000,0.2,mixed,316.41,31.64,39.82,3.98,41.74,,
N1001,10000,100,0.01,standard,416.34,41.63,52.81,5.28,35.1,,
N1002,10000,1000,0.01,standard,573.96,57.4,72.1,7.21,34.41,,
N1003,10000,10000,0.01,standard,619.06,61.91,77.96,7.8,40.38,,
N1004,10000,100,0.05,standard,282.81,28.28,35.61,3.56,36.54,,
N1005,10000,1000,0.05,standard,578.9,57.89,72.79,7.28,34.8,,
N1006,10000,10000,0.05,standard,626.62,62.66,78.82,7.88,38.16,,
N1007,10000,100,0.1,standard,281.63,28.16,35.42,3.54,37.17,,
N1008,10000,1000,0.1,standard,422.48,42.25,53.09,5.31,37.62,,
N1009,10000,10000,0.1,standard,620.79,62.08,78.23,7.82,38.79,,
N1010,10000,100,0.2,standard,284.7,28.47,35.83,3.58,35.46,,
N1011,10000,1000,0.2,standard,307.72,30.77,38.86,3.89,36.36,,
N1012,10000,10000,0.2,standard,319.86,31.99,40.35,4.04,40.38,,
N3001,10000,100,0.01,variable,400.49,40.05,50.32,5.03,36.43,,
N3002,10000,1000,0.01,variable,592.6,59.26,74.49,7.45,35.06,,
N3003,10000,10000,0.01,variable,565.22,56.52,70.96,7.1,39.56,,
N3004,10000,100,0.05,variable,274.21,27.42,34.46,3.45,36.5,,
N3005,10000,1000,0.05,variable,561.8,56.18,70.6,7.06,35.01,,
N3006,10000,10000,0.05,variable,632.46,63.25,79.58,7.96,38.27,,
N3007,10000,100,0.1,variable,298.11,29.81,37.5,3.75,37.41,,
N3008,10000,1000,0.1,variable,434.4,43.44,54.64,5.46,34.94,,
N3009,10000,10000,0.1,variable,634.18,63.42,79.72,7.97,38.7,,
N3010,10000,100,0.2,variable,284.98,28.5,35.86,3.59,35.41,,
N3011,10000,1000,0.2,variable,298.06,29.81,37.53,3.75,34.14,,
N3012,10000,10000,0.2,variable,316.86,31.69,39.84,3.98,38.82,,
