Dataset,Record Count,Sequence Length,Error,Tracepoint Type,sample.seq,dataset.fa,fastga.paf,tmp.paf,cigzip.paf,tp.paf,decompressed.paf,,Seq File (MB),FASTA file (MB),FastGA PAF (MB),Tracepoint Encoded PAF (MB),tmp.paf,cigzip.paf,decompressed.paf
N1001_R10000_L100_E0.01,10000,100,0.01,standard,2040215,2268003,2451779,3672612,3620827,2300340,3620827,,1.95,2.16,2.34,2.19,3.50,3.45,3.45
N1002_R10000_L1000_E0.01,10000,1000,0.01,standard,20039798,20267586,4620584,5386482,6241058,3468844,6241058,,19.11,19.33,4.41,3.31,5.14,5.95,5.95
N1003_R10000_L10000_E0.01,10000,10000,0.01,standard,200041104,200268892,14271084,5712491,15895552,4307550,15895552,,190.77,190.99,13.61,4.11,5.45,15.16,15.16
N1004_R10000_L100_E0.05,10000,100,0.05,standard,2039932,2267720,1672312,2529968,2474192,1587762,2474192,,1.95,2.16,1.59,1.51,2.41,2.36,2.36
N1005_R10000_L1000_E0.05,10000,1000,0.05,standard,20040095,20267883,7875100,5375988,9504509,3591228,9504509,,19.11,19.33,7.51,3.42,5.13,9.06,9.06
N1006_R10000_L10000_E0.05,10000,10000,0.05,standard,200044297,200272085,47135693,5715472,48854515,6019128,48854515,,190.78,190.99,44.95,5.74,5.45,46.59,46.59
N1007_R10000_L100_E0.1,10000,100,0.1,standard,2040133,2267921,1665994,2521768,2465994,1581768,2465994,,1.95,2.16,1.59,1.51,2.40,2.35,2.35
N1008_R10000_L1000_E0.1,10000,1000,0.1,standard,20039535,20267323,6083344,3915519,7278286,2664944,7278286,,19.11,19.33,5.80,2.54,3.73,6.94,6.94
N1009_R10000_L10000_E0.1,10000,10000,0.1,standard,200042833,200270621,80498870,5708306,82473276,8215632,82473276,,190.78,190.99,76.77,7.84,5.44,78.65,78.65
N1010_R10000_L100_E0.2,10000,100,0.2,standard,2039622,2267410,1663703,2519028,2463543,1579216,2463543,,1.95,2.16,1.59,1.51,2.40,2.35,2.35
N1011_R10000_L1000_E0.2,10000,1000,0.2,standard,20041316,20269104,1809125,2678802,2609567,1738664,2609567,,19.11,19.33,1.73,1.66,2.55,2.49,2.49
N1012_R10000_L10000_E0.2,10000,10000,0.2,standard,200041051,200268839,4854911,2901746,5700621,2127744,5700621,,190.77,190.99,4.63,2.03,2.77,5.44,5.44
N2001_R10000_L100_E0.01,10000,100,0.01,mixed,2040231,2268019,2446687,3665310,3613243,2295950,3613243,,1.95,2.16,2.33,2.19,3.50,3.45,3.45
N2002_R10000_L1000_E0.01,10000,1000,0.01,mixed,20039815,20267603,4620356,5386747,6240747,3469106,6240747,,19.11,19.33,4.41,3.31,5.14,5.95,5.95
N2003_R10000_L10000_E0.01,10000,10000,0.01,mixed,200040782,200268570,14269808,5711622,15895151,4306518,15895151,,190.77,190.99,13.61,4.11,5.45,15.16,15.16
N2004_R10000_L100_E0.05,10000,100,0.05,mixed,2040180,2267968,1672533,2530340,2474413,1588138,2474413,,1.95,2.16,1.60,1.51,2.41,2.36,2.36
N2005_R10000_L1000_E0.05,10000,1000,0.05,mixed,20039669,20267457,7875332,5376072,9504862,3591310,9504862,,19.11,19.33,7.51,3.42,5.13,9.06,9.06
N2006_R10000_L10000_E0.05,10000,10000,0.05,mixed,200044124,200271912,47123791,5715705,48843308,6017364,48843308,,190.78,190.99,44.94,5.74,5.45,46.58,46.58
