file	num_pairs	val1_min	val1_avg	val1_std	val1_max	val2_min	val2_avg	val2_std	val2_max
chm13#1.p70.aln.edit-distance.32.tp.paf	45810061	0	934.03	4072.15	9533578	0	927.09	4061.00	9533573
grch38#1.p70.aln.edit-distance.32.tp.paf	40467116	0	1032.20	2972.44	507058	0	1024.71	2960.68	507059
hg002#M.p70.aln.edit-distance.32.tp.paf	56886189	0	793.05	2908.96	3045947	0	779.89	2877.10	3045955
hg002#P.p70.aln.edit-distance.32.tp.paf	56100752	0	787.09	3756.80	9532929	0	773.84	3732.74	9532934
mGorGor1#M.p70.aln.edit-distance.32.tp.paf	55662646	0	776.23	2222.43	7072039	0	770.24	2204.28	7072048
mGorGor1#P.p70.aln.edit-distance.32.tp.paf	54422569	0	773.13	2241.83	7072048	0	767.28	2225.62	7072039
mPanPan1#M.p70.aln.edit-distance.32.tp.paf	49829171	0	866.66	1602.18	569216	0	858.91	1573.03	569224
mPanPan1#P.p70.aln.edit-distance.32.tp.paf	49351119	0	853.99	1602.45	506113	0	846.30	1571.18	506106
mPanTro3#1.p70.aln.edit-distance.32.tp.paf	49666379	0	869.80	2029.21	2035941	0	861.59	2002.46	2035936
mPanTro3#2.p70.aln.edit-distance.32.tp.paf	49437747	0	853.90	2024.74	2035936	0	846.03	2000.03	2035941
mPonAbe1#1.p70.aln.edit-distance.32.tp.paf	58355849	0	726.71	3218.80	8136500	0	729.66	3217.55	8136502
mPonAbe1#2.p70.aln.edit-distance.32.tp.paf	57325115	0	721.02	3239.18	8136502	0	724.28	3238.25	8136500
mPonPyg2#1.p70.aln.edit-distance.32.tp.paf	58748772	0	722.23	2520.32	8686188	0	725.14	2518.17	8686190
mPonPyg2#2.p70.aln.edit-distance.32.tp.paf	57407410	0	720.62	2545.46	8686190	0	723.64	2543.31	8686188
mSymSyn1#1.p70.aln.edit-distance.32.tp.paf	73312077	0	563.43	986.84	385870	0	559.44	940.76	385867
mSymSyn1#2.p70.aln.edit-distance.32.tp.paf	72054239	0	558.94	994.50	385867	0	555.10	947.10	385870
TOTAL	884837211	0	767.35	2539.65	9533578	0	762.61	2523.71	9533573
