file	num_pairs	val1_min	val1_avg	val1_std	val1_max	val2_min	val2_avg	val2_std	val2_max
GCA_000001405.15_GRCh38_no_alt_analysis_set.PanSN.merged.edit-distance.32.tp.paf	250011063	0	5572.72	12690.46	1258664	0	5578.93	12687.97	1258664
HG00097_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21763635	0	7443.39	16216.61	1238421	0	7462.16	16208.54	1238437
HG00097_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23192844	0	6992.64	15755.58	1377445	0	7011.68	15747.69	1377450
HG00099_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	16927804	0	7430.34	16515.53	1386018	0	7447.52	16508.26	1386012
HG00099_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19835874	0	7388.71	15922.53	1329714	0	7405.92	15915.03	1329710
HG00126_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20026078	0	7247.48	15659.90	1341572	0	7264.49	15652.59	1341572
HG00126_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	26791448	0	7084.17	16113.09	1182925	0	7103.48	16105.18	1182922
HG00128_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19605948	0	7626.12	17137.00	1372280	0	7645.97	17128.69	1372281
HG00128_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20595803	0	7142.47	16315.80	1424459	0	7161.70	16307.91	1424461
HG00133_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19794053	0	7118.48	16225.60	1278410	0	7136.73	16218.11	1278412
HG00133_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23873392	0	7044.22	15452.85	1536400	0	7062.09	15445.28	1536413
HG00140_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22009532	0	7109.88	16109.46	1736623	0	7128.88	16101.73	1736644
HG00140_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	26315981	0	7197.80	15628.88	1642942	0	7216.49	15620.91	1642933
