file	num_pairs	val1_min	val1_avg	val1_std	val1_max	val2_min	val2_avg	val2_std	val2_max
GCA_000001405.15_GRCh38_no_alt_analysis_set.PanSN.merged.diagonal-distance.32.tp.paf	106183202	0	13121.11	47769.56	2262737	0	13135.73	47765.66	2262764
HG00097_hap1_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	9293933	0	17430.21	59871.88	3036479	0	17474.18	59859.35	3036491
HG00097_hap2_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	9967703	0	16270.48	57909.09	3126141	0	16314.77	57896.94	3126146
HG00099_hap1_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	7246774	0	17356.59	60767.45	4313907	0	17396.73	60756.21	4313935
HG00099_hap2_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	8370914	0	17508.44	59671.40	3058271	0	17549.21	59659.59	3058289
HG00126_hap1_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	8733946	0	16617.77	57555.89	3205413	0	16656.76	57544.95	3205413
HG00126_hap2_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	11390236	0	16662.96	59274.10	4391333	0	16708.39	59261.64	4391301
HG00128_hap1_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	8381444	0	17839.09	62183.25	4040919	0	17885.51	62170.23	4040889
HG00128_hap2_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	8917733	0	16495.78	59093.61	3181279	0	16540.20	59081.48	3181272
HG00133_hap1_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	8560450	0	16459.83	58998.79	3390349	0	16502.03	58987.33	3390365
HG00133_hap2_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	10196904	0	16492.20	57612.36	3959951	0	16534.04	57600.75	3959953
HG00140_hap1_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	9473521	0	16518.16	58604.00	3077439	0	16562.29	58592.02	3077407
HG00140_hap2_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	11210935	0	16895.75	58169.57	3176452	0	16939.62	58157.28	3176473
HG00146_hap1_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	10194773	0	16708.89	58665.00	3601069	0	16750.05	58653.54	3601086
HG00146_hap2_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	9073668	0	17569.07	60510.48	2956744	0	17609.66	60499.09	2956722
HG00232_hap1_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	8503924	0	17875.13	61559.09	4314612	0	17919.35	61546.66	4314584
HG00232_hap2_hprc_r2_v1.0.1.merged.diagonal-distance.32.tp.paf	11770005	0	16764.22	58401.23	4451791	0	16805.95	58389.55	4451759
