file	num_alignments	total_length_GB	len_min	len_avg	len_std	len_max	num_identities	id_min	id_avg	id_std	id_max
chm13v2.0_maskedY_rCRS.fa.PanSN.merged.paf	7149766	1430.499	1760	200076.34	672166.30	20998025	7149766	0.814583	0.986279	0.016465	1.000000
GCA_000001405.15_GRCh38_no_alt_analysis_set.PanSN.merged.paf	8916633	1396.959	1632	156668.89	487240.79	18256125	8916633	0.790134	0.969699	0.039839	1.000000
HG00097_hap1_hprc_r2_v1.0.1.merged.paf	810363	162.523	2019	200556.09	667428.73	19077558	810363	0.819860	0.983538	0.021573	1.000000
HG00097_hap2_hprc_r2_v1.0.1.merged.paf	764473	162.739	2148	212877.91	689335.59	23315523	764473	0.796492	0.982263	0.022490	1.000000
HG00099_hap1_hprc_r2_v1.0.1.merged.paf	593427	126.162	2013	212599.44	699137.52	18260802	593427	0.792998	0.983881	0.021208	1.000000
HG00099_hap2_hprc_r2_v1.0.1.merged.paf	711009	147.013	2234	206766.09	679106.35	18495365	711009	0.822311	0.983410	0.021675	1.000000
HG00126_hap1_hprc_r2_v1.0.1.merged.paf	746956	145.597	2097	194920.29	649683.50	18426250	746956	0.837706	0.985884	0.017135	1.000000
HG00126_hap2_hprc_r2_v1.0.1.merged.paf	961557	190.459	1541	198073.87	666086.82	21375677	961557	0.815179	0.982655	0.022254	1.000000
HG00128_hap1_hprc_r2_v1.0.1.merged.paf	725934	150.009	2156	206643.26	693578.04	19985869	725934	0.817352	0.983923	0.021450	1.000000
HG00128_hap2_hprc_r2_v1.0.1.merged.paf	743174	147.607	1954	198617.45	674027.04	16618879	743174	0.816706	0.982848	0.022704	1.000000
HG00133_hap1_hprc_r2_v1.0.1.merged.paf	689133	141.367	1980	205136.74	684497.79	17362395	689133	0.819510	0.982780	0.023158	1.000000
HG00133_hap2_hprc_r2_v1.0.1.merged.paf	879267	168.727	1853	191894.73	652833.94	19455357	879267	0.820428	0.982955	0.022625	1.000000
HG00140_hap1_hprc_r2_v1.0.1.merged.paf	797147	157.022	881	196979.57	670514.00	16210974	797147	0.823852	0.984180	0.021105	1.000000
HG00140_hap2_hprc_r2_v1.0.1.merged.paf	963629	190.049	1853	197221.70	660641.68	19072347	963629	0.814600	0.983243	0.022428	1.000000
HG00146_hap1_hprc_r2_v1.0.1.merged.paf	835202	170.892	2209	204611.09	669974.06	25661898	835202	0.807884	0.982413	0.023753	1.000000
HG00146_hap2_hprc_r2_v1.0.1.merged.paf	815443	159.906	2123	196096.91	673766.19	16907000	815443	0.825323	0.984492	0.020572	1.000000
HG00232_hap1_hprc_r2_v1.0.1.merged.paf	732349	152.496	1949	208228.03	688059.78	18942687	732349	0.809404	0.983219	0.022658	1.000000
HG00232_hap2_hprc_r2_v1.0.1.merged.paf	966544	197.956	1907	204807.62	671655.13	17970293	966544	0.817575	0.982190	0.024226	1.000000
HG00235_hap1_hprc_r2_v1.0.1.merged.paf	863252	159.621	2067	184906.75	649658.77	19746012	863252	0.805078	0.981676	0.024705	1.000000
HG00235_hap2_hprc_r2_v1.0.1.merged.paf	593274	122.567	2074	206593.97	671685.78	14882049	593274	0.812359	0.983298	0.021019	1.000000
HG00253_hap1_hprc_r2_v1.0.1.merged.paf	878013	174.356	2280	198579.65	654678.74	17624629	878013	0.816912	0.982492	0.023427	1.000000
HG00253_hap2_hprc_r2_v1.0.1.merged.paf	687031	150.240	2281	218680.34	700998.56	19162808	687031	0.820379	0.983226	0.021783	1.000000
HG00272_hap1_hprc_r2_v1.0.1.merged.paf	1152010	223.540	1754	194043.02	673617.59	18515100	1152010	0.816802	0.983651	0.021786	1.000000
HG00272_hap2_hprc_r2_v1.0.1.merged.paf	785824	162.931	1853	207337.86	674446.02	18411502	785824	0.820731	0.984025	0.021117	1.000000
HG00280_hap1_hprc_r2_v1.0.1.merged.paf	960857	174.880	1949	182004.54	639259.31	17535642	960857	0.818398	0.984414	0.021426	1.000000
HG00280_hap2_hprc_r2_v1.0.1.merged.paf	693638	140.894	2067	203122.71	683975.50	19372949	693638	0.820237	0.982090	0.024054	1.000000
HG00290_hap1_hprc_r2_v1.0.1.merged.paf	666527	130.165	2224	195288.51	660118.88	17999427	666527	0.817397	0.985347	0.018407	1.000000
HG00290_hap2_hprc_r2_v1.0.1.merged.paf	725377	147.139	1534	202845.17	670092.16	15449543	725377	0.823494	0.982838	0.022657	1.000000
hg002v1.1.mat_MT.PanSN.merged.paf	767068	156.413	2021	203909.92	692608.92	17030528	767068	0.805604	0.983914	0.021072	1.000000
hg002v1.1.pat.PanSN.merged.paf	705249	136.577	2224	193658.07	658727.47	15708300	705249	0.827650	0.985071	0.018170	1.000000
HG00320_hap1_hprc_r2_v1.0.1.merged.paf	747119	159.594	2148	213612.11	695549.57	19110563	747119	0.816336	0.982429	0.023657	1.000000
HG00320_hap2_hprc_r2_v1.0.1.merged.paf	821197	171.180	1853	208451.81	686029.18	17352222	821197	0.815917	0.982960	0.023056	1.000000
