file	num_pairs	val1_min	val1_avg	val1_std	val1_max	val2_min	val2_avg	val2_std	val2_max
chm13#1.p70.aln.diagonal-distance.32.tp.paf	10807835	0	3958.99	16733.63	9533578	0	3929.57	16727.91	9533573
grch38#1.p70.aln.diagonal-distance.32.tp.paf	9252453	0	4514.48	15456.15	1707556	0	4481.73	15454.16	1707546
hg002#M.p70.aln.diagonal-distance.32.tp.paf	13837268	0	3260.28	13818.86	3410376	0	3206.20	13801.39	3410380
hg002#P.p70.aln.diagonal-distance.32.tp.paf	13680396	0	3227.71	14659.29	9532929	0	3173.35	14643.42	9532934
mGorGor1#M.p70.aln.diagonal-distance.32.tp.paf	12929013	0	3341.85	9696.54	7851644	0	3316.07	9685.63	7851675
mGorGor1#P.p70.aln.diagonal-distance.32.tp.paf	12713338	0	3309.56	9701.36	7851675	0	3284.55	9692.03	7851644
mPanPan1#M.p70.aln.diagonal-distance.32.tp.paf	11690702	0	3693.97	10781.15	1510727	0	3660.94	10771.21	1510759
mPanPan1#P.p70.aln.diagonal-distance.32.tp.paf	11722495	0	3595.24	10682.28	1510759	0	3562.88	10670.76	1510727
mPanTro3#1.p70.aln.diagonal-distance.32.tp.paf	11608567	0	3721.37	11513.71	2936110	0	3686.24	11502.52	2936135
mPanTro3#2.p70.aln.diagonal-distance.32.tp.paf	11622099	0	3632.30	11409.35	2936135	0	3598.81	11399.11	2936110
mPonAbe1#1.p70.aln.diagonal-distance.32.tp.paf	12991314	0	3264.32	11360.26	8186209	0	3277.55	11355.64	8186239
mPonAbe1#2.p70.aln.diagonal-distance.32.tp.paf	12781566	0	3233.77	11377.77	8186239	0	3248.37	11373.26	8186209
mPonPyg2#1.p70.aln.diagonal-distance.32.tp.paf	13132338	0	3230.96	10868.13	9788780	0	3243.97	10862.74	9788749
mPonPyg2#2.p70.aln.diagonal-distance.32.tp.paf	12822118	0	3226.39	10945.23	9788749	0	3239.89	10939.75	9788780
mSymSyn1#1.p70.aln.diagonal-distance.32.tp.paf	18579651	0	2223.21	5494.09	1087955	0	2207.45	5465.47	1087974
mSymSyn1#2.p70.aln.diagonal-distance.32.tp.paf	18288683	0	2202.13	5503.28	1087953	0	2187.00	5473.38	1087934
TOTAL	208459836	0	3257.10	11292.00	9788780	0	3236.99	11281.24	9788780
